epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84782,2.56766,9.09572,1.24318,0.00286,0.27273,0.01267,0.01075,1.36039,3.95927,0.95827,0.00026,0.00026,0.00026
2,4.5644,2.03639,8.92003,1.1217,0.00286,0.27273,0.01119,0.00974,1.28017,3.93633,0.95647,0.000529308,0.000529308,0.000529308
3,6.40587,2.98118,9.84263,1.01047,0.00238,0.22727,0.00253,0.0014,1.68458,4.66036,0.90883,0.000787528,0.000787528,0.000787528
4,8.29714,2.78542,7.06463,1.22485,0.00333,0.31818,0.02098,0.01236,2.04945,3.82557,1.22518,0.00103466,0.00103466,0.00103466
5,10.1221,2.12299,6.59901,0.99481,0.00333,0.31818,0.02098,0.01236,2.04945,3.82557,1.22518,0.0012707,0.0012707,0.0012707
6,11.9756,3.0722,7.94907,1.22163,0.00143,0.13636,0.00171,0.00068,2.26573,4.84926,1.53454,0.00149566,0.00149566,0.00149566
7,13.8488,2.28935,6.25813,1.11502,0.00143,0.13636,0.00171,0.00068,2.26573,4.84926,1.53454,0.00170953,0.00170953,0.00170953
8,15.7276,2.24932,7.3981,0.96868,0.00143,0.13636,0.00134,0.00036,2.75879,4.12225,1.86257,0.0017228,0.0017228,0.0017228
9,17.547,2.72239,7.51978,1.07439,0.00143,0.13636,0.00134,0.00036,2.75879,4.12225,1.86257,0.0016832,0.0016832,0.0016832
10,19.3857,2.46423,6.86948,1.03953,0.00143,0.13636,0.00134,0.00036,2.75879,4.12225,1.86257,0.0016436,0.0016436,0.0016436
11,21.2354,2.30412,5.12353,1.14887,0.00381,0.36364,0.09799,0.02706,2.40743,3.91654,1.36519,0.001604,0.001604,0.001604
12,22.9994,2.54976,5.35781,1.10341,0.00381,0.36364,0.09799,0.02706,2.40743,3.91654,1.36519,0.0015644,0.0015644,0.0015644
13,24.8155,2.63959,5.77518,1.19816,0.67143,0.22727,0.23441,0.08846,2.45705,3.25981,1.79529,0.0015248,0.0015248,0.0015248
14,26.5956,2.89879,6.52528,1.15164,0.67143,0.22727,0.23441,0.08846,2.45705,3.25981,1.79529,0.0014852,0.0014852,0.0014852
15,28.3704,2.56548,5.82826,1.10481,0.63133,0.27273,0.26178,0.10784,2.34076,2.66345,1.72227,0.0014456,0.0014456,0.0014456
16,30.1006,2.45964,7.04382,1.05457,0.63133,0.27273,0.26178,0.10784,2.34076,2.66345,1.72227,0.001406,0.001406,0.001406
17,31.7951,2.50781,5.44488,1.02989,0.63133,0.27273,0.26178,0.10784,2.34076,2.66345,1.72227,0.0013664,0.0013664,0.0013664
18,33.5676,2.2944,4.61256,1.12461,0.71068,0.27273,0.26613,0.1165,2.42241,2.50585,1.62415,0.0013268,0.0013268,0.0013268
19,35.3255,2.23018,4.22027,1.05997,0.71068,0.27273,0.26613,0.1165,2.42241,2.50585,1.62415,0.0012872,0.0012872,0.0012872
20,37.1455,2.59114,4.9164,1.04231,0.88698,0.27273,0.33772,0.14337,2.3567,2.32615,1.51764,0.0012476,0.0012476,0.0012476
21,38.8656,2.29779,4.43169,1.10908,0.88698,0.27273,0.33772,0.14337,2.3567,2.32615,1.51764,0.001208,0.001208,0.001208
22,40.5677,2.44752,6.09533,0.93141,0.84345,0.31818,0.31907,0.11799,2.03685,2.22476,1.41331,0.0011684,0.0011684,0.0011684
23,42.288,2.21429,3.63763,1.09716,0.84345,0.31818,0.31907,0.11799,2.03685,2.22476,1.41331,0.0011288,0.0011288,0.0011288
24,44.1156,2.14652,3.73747,0.97597,0.96422,0.31818,0.34316,0.12015,1.94142,2.16039,1.36638,0.0010892,0.0010892,0.0010892
25,45.8769,2.49104,5.08851,0.94936,0.96422,0.31818,0.34316,0.12015,1.94142,2.16039,1.36638,0.0010496,0.0010496,0.0010496
26,47.6174,2.08106,4.69794,1.05304,0.96422,0.31818,0.34316,0.12015,1.94142,2.16039,1.36638,0.00101,0.00101,0.00101
27,49.3978,2.31525,4.64754,1.01724,0.81198,0.31818,0.33136,0.13288,2.0958,2.1569,1.44073,0.0009704,0.0009704,0.0009704
28,51.1359,2.14159,3.87456,0.96545,0.81198,0.31818,0.33136,0.13288,2.0958,2.1569,1.44073,0.0009308,0.0009308,0.0009308
29,53.0609,2.02604,3.86925,1.09547,0.85838,0.31818,0.33587,0.14719,2.10527,2.23538,1.50847,0.0008912,0.0008912,0.0008912
30,54.9017,2.10118,3.9815,0.99295,0.85838,0.31818,0.33587,0.14719,2.10527,2.23538,1.50847,0.0008516,0.0008516,0.0008516
31,56.6206,2.18402,4.08605,0.91796,0.87439,0.31662,0.33551,0.15262,2.20783,2.24822,1.53808,0.000812,0.000812,0.000812
32,58.4177,1.80785,4.39341,0.8375,0.87439,0.31662,0.33551,0.15262,2.20783,2.24822,1.53808,0.0007724,0.0007724,0.0007724
33,60.2157,2.10495,4.18859,0.98734,0.87439,0.31662,0.33551,0.15262,2.20783,2.24822,1.53808,0.0007328,0.0007328,0.0007328
34,62.0015,1.89658,4.57636,0.95921,0.85028,0.31818,0.34752,0.1696,2.16123,2.02293,1.504,0.0006932,0.0006932,0.0006932
35,63.779,1.76786,3.44231,0.88049,0.85028,0.31818,0.34752,0.1696,2.16123,2.02293,1.504,0.0006536,0.0006536,0.0006536
36,65.5316,1.66815,3.60415,0.89078,0.86707,0.31818,0.37962,0.17888,2.13116,1.95851,1.47898,0.000614,0.000614,0.000614
37,67.1727,1.57178,3.47099,0.84472,0.86707,0.31818,0.37962,0.17888,2.13116,1.95851,1.47898,0.0005744,0.0005744,0.0005744
38,68.9359,2.05332,4.12261,0.89708,0.80177,0.31818,0.37948,0.17579,2.06978,1.82002,1.4455,0.0005348,0.0005348,0.0005348
39,70.7305,1.7537,2.87587,0.98399,0.80177,0.31818,0.37948,0.17579,2.06978,1.82002,1.4455,0.0004952,0.0004952,0.0004952
40,72.5307,1.90432,3.2103,0.97578,0.81582,0.31818,0.38084,0.17963,2.0272,1.76371,1.4295,0.0004556,0.0004556,0.0004556
41,74.3406,1.89247,4.34283,0.86774,0.81582,0.31818,0.38084,0.17963,2.0272,1.76371,1.4295,0.000416,0.000416,0.000416
42,76.2057,1.80789,4.13893,0.9703,0.81582,0.31818,0.38084,0.17963,2.0272,1.76371,1.4295,0.0003764,0.0003764,0.0003764
43,77.9355,1.84999,5.07556,0.98861,0.54661,0.38433,0.39016,0.18629,2.03003,1.82296,1.44634,0.0003368,0.0003368,0.0003368
44,79.6585,1.83869,4.18298,0.95643,0.54661,0.38433,0.39016,0.18629,2.03003,1.82296,1.44634,0.0002972,0.0002972,0.0002972
45,81.5357,1.73235,3.5074,0.99244,0.87093,0.31818,0.39489,0.20689,2.05385,1.87649,1.4546,0.0002576,0.0002576,0.0002576
46,83.1336,1.70697,3.87618,0.94867,0.87093,0.31818,0.39489,0.20689,2.05385,1.87649,1.4546,0.000218,0.000218,0.000218
47,84.9342,1.98961,4.55479,0.93651,0.87402,0.31569,0.3914,0.19751,2.05994,1.88157,1.45154,0.0001784,0.0001784,0.0001784
48,86.6656,1.78362,4.40116,0.91273,0.87402,0.31569,0.3914,0.19751,2.05994,1.88157,1.45154,0.0001388,0.0001388,0.0001388
49,88.3444,1.87583,3.57515,0.99622,0.87402,0.31569,0.3914,0.19751,2.05994,1.88157,1.45154,9.92e-05,9.92e-05,9.92e-05
50,90.143,1.7117,3.40139,0.95344,0.73871,0.31818,0.38753,0.19272,2.08617,1.86332,1.44781,5.96e-05,5.96e-05,5.96e-05
